origin,airline,weekday,duration(min),dep_minutes,route_weekday,pred_price
BRU,IB,Wednesday,120,910.0,BRU_Wednesday,90.20499
BRU,IB,Wednesday,124,1315.0,BRU_Wednesday,91.26613
BRU,IB,Wednesday,125,580.0,BRU_Wednesday,92.63743
BRU,IB,Wednesday,125,1030.0,BRU_Wednesday,92.14569
BRU,VY,Wednesday,120,910.0,BRU_Wednesday,89.3708
BRU,VY,Wednesday,124,1315.0,BRU_Wednesday,90.627174
BRU,VY,Wednesday,125,580.0,BRU_Wednesday,92.078354
BRU,VY,Wednesday,125,1030.0,BRU_Wednesday,91.50674
BRU,UX,Wednesday,350,645.0,BRU_Wednesday,108.97989
BRU,UX,Wednesday,840,1135.0,BRU_Wednesday,114.70112
BRU,UX,Wednesday,1300,1135.0,BRU_Wednesday,114.88506
BRU,UX,Wednesday,1330,645.0,BRU_Wednesday,117.22373
BRU,AZ,Wednesday,700,695.0,BRU_Wednesday,126.240715
BRU,AZ,Wednesday,955,1135.0,BRU_Wednesday,122.42282
BRU,AZ,Wednesday,1260,1135.0,BRU_Wednesday,122.25553
BRU,IB,Thursday,120,930.0,BRU_Thursday,90.18906
BRU,IB,Thursday,124,1315.0,BRU_Thursday,91.2502
BRU,IB,Thursday,125,580.0,BRU_Thursday,92.6215
BRU,IB,Thursday,125,1030.0,BRU_Thursday,92.12976
BRU,VY,Thursday,120,930.0,BRU_Thursday,89.354866
BRU,VY,Thursday,124,1315.0,BRU_Thursday,90.611244
BRU,VY,Thursday,125,580.0,BRU_Thursday,92.06242
BRU,VY,Thursday,125,1030.0,BRU_Thursday,91.49081
BRU,UX,Thursday,350,645.0,BRU_Thursday,108.96396
BRU,UX,Thursday,1300,1135.0,BRU_Thursday,115.28826
BRU,AZ,Thursday,955,1135.0,BRU_Thursday,122.69384
BRU,AZ,Thursday,1260,1135.0,BRU_Thursday,122.52655
BRU,SN,Thursday,120,735.0,BRU_Thursday,119.54362
BRU,SN,Thursday,120,1105.0,BRU_Thursday,118.93933
BRU,UX,Thursday,1330,645.0,BRU_Thursday,117.62693
BRU,IB,Friday,120,910.0,BRU_Friday,90.20499
BRU,IB,Friday,124,1315.0,BRU_Friday,91.26613
BRU,IB,Friday,125,580.0,BRU_Friday,92.63743
BRU,IB,Friday,125,1030.0,BRU_Friday,92.14569
BRU,VY,Friday,120,910.0,BRU_Friday,89.3708
BRU,VY,Friday,124,1315.0,BRU_Friday,90.627174
BRU,VY,Friday,125,580.0,BRU_Friday,92.078354
BRU,VY,Friday,125,1030.0,BRU_Friday,91.50674
BRU,UX,Friday,1300,1135.0,BRU_Friday,114.88506
BRU,AZ,Friday,955,1135.0,BRU_Friday,125.0781
BRU,AZ,Friday,1260,1135.0,BRU_Friday,124.32775
BRU,SN,Friday,120,1105.0,BRU_Friday,117.150116
BRU,TP,Friday,510,710.0,BRU_Friday,145.37276
BRU,TP,Friday,715,710.0,BRU_Friday,145.79068
BRU,LX,Friday,220,920.0,BRU_Friday,145.39359
BRU,VY,Saturday,125,580.0,BRU_Saturday,92.21787
BRU,IB,Saturday,120,910.0,BRU_Saturday,90.29302
BRU,IB,Saturday,125,580.0,BRU_Saturday,92.77695
BRU,VY,Saturday,120,910.0,BRU_Saturday,89.45883
BRU,UX,Saturday,350,645.0,BRU_Saturday,109.27059
BRU,AZ,Saturday,700,695.0,BRU_Saturday,127.15808
BRU,AZ,Saturday,955,1135.0,BRU_Saturday,124.07515
BRU,AZ,Saturday,1395,695.0,BRU_Saturday,125.170204
BRU,SN,Saturday,120,735.0,BRU_Saturday,119.76963
BRU,SN,Saturday,120,1105.0,BRU_Saturday,119.11386
BRU,UX,Saturday,1300,1135.0,BRU_Saturday,115.86984
BRU,TP,Saturday,350,1075.0,BRU_Saturday,144.04317
BRU,TP,Saturday,510,710.0,BRU_Saturday,145.18292
BRU,A3,Saturday,885,1180.0,BRU_Saturday,140.81194
BRU,A3,Saturday,1290,1180.0,BRU_Saturday,136.22165
BRU,IB,Sunday,120,910.0,BRU_Sunday,90.20499
BRU,IB,Sunday,124,1315.0,BRU_Sunday,91.26613
BRU,IB,Sunday,125,580.0,BRU_Sunday,92.63743
BRU,IB,Sunday,125,1020.0,BRU_Sunday,92.14569
BRU,VY,Sunday,120,910.0,BRU_Sunday,89.3708
BRU,VY,Sunday,124,1315.0,BRU_Sunday,90.627174
BRU,VY,Sunday,125,580.0,BRU_Sunday,92.078354
BRU,VY,Sunday,125,1020.0,BRU_Sunday,91.50674
BRU,UX,Sunday,350,645.0,BRU_Sunday,110.21155
BRU,AZ,Sunday,955,1135.0,BRU_Sunday,122.69384
BRU,SN,Sunday,120,735.0,BRU_Sunday,120.42642
BRU,SN,Sunday,120,1105.0,BRU_Sunday,119.822136
BRU,AZ,Sunday,1260,1135.0,BRU_Sunday,122.52655
BRU,TP,Sunday,465,360.0,BRU_Sunday,146.27003
BRU,TP,Sunday,675,360.0,BRU_Sunday,148.44197
BRU,IB,Monday,120,910.0,BRU_Monday,89.98551
BRU,IB,Monday,124,1315.0,BRU_Monday,91.14679
BRU,IB,Monday,125,580.0,BRU_Monday,92.41795
BRU,IB,Monday,125,1030.0,BRU_Monday,91.926216
BRU,VY,Monday,120,910.0,BRU_Monday,89.15132
BRU,VY,Monday,124,1315.0,BRU_Monday,90.507835
BRU,VY,Monday,125,580.0,BRU_Monday,91.85888
